x,y,z
0.083,0.045,-0.015
0.113,0.057,0.0
0.117,-0.011,0.008
0.057,0.015,-0.008
0.132,0.053,-0.023
0.091,0.075,-0.053
0.049,0.06,0.019
0.094,0.038,-0.053
0.102,0.049,-0.019
0.113,-0.026,0.113
0.087,0.121,-0.011
0.121,0.06,-0.072
0.128,0.023,0.008
0.151,0.094,-0.004
0.057,0.109,-0.072
0.106,0.072,-0.011
0.192,-0.034,0.049
0.189,-0.023,-0.011
0.155,0.064,-0.045
0.155,0.049,-0.079
0.14,0.072,0.023
0.17,0.068,0.14
0.177,-0.008,0.011
0.072,0.14,-0.091
0.03,0.008,0.034
0.064,0.038,-0.117
0.087,-0.049,-0.098
0.049,-0.057,0.015
0.094,-0.053,0.045
0.041,0.064,-0.019
0.068,0.072,0.034
0.06,0.026,-0.034
0.102,0.094,-0.049
0.106,0.023,-0.034
0.079,0.06,0.079
0.079,-0.026,0.03
0.106,0.038,-0.023
0.057,-0.034,0.053
0.038,0.0,-0.008
0.06,0.038,-0.083
0.087,0.094,-0.049
0.023,0.023,0.038
0.053,-0.008,0.132
0.162,0.011,0.019
0.094,0.041,0.03
0.041,-0.045,-0.045
0.192,-0.023,0.004
0.23,0.057,-0.079
0.117,0.094,-0.158
0.019,0.023,-0.038
0.072,0.041,-0.004
0.064,0.053,-0.049
0.068,0.038,0.008
0.14,0.075,-0.057
0.109,0.038,-0.015
0.117,-0.041,-0.124
0.121,0.015,-0.004
0.124,0.026,0.057
0.132,-0.038,0.03
0.162,0.083,0.087
0.106,0.113,-0.008
0.106,0.113,-0.075
0.113,-0.011,-0.03
0.158,-0.015,0.008
0.143,0.008,0.0
0.109,0.053,0.049
0.072,0.03,-0.041
0.113,0.053,-0.14
0.174,0.034,-0.064
0.091,0.026,-0.049
0.091,0.079,0.053
0.136,0.03,0.094
0.17,0.072,0.106
0.151,0.015,0.008
0.151,0.102,-0.011
0.083,0.026,-0.102
0.098,0.03,-0.072
0.083,0.011,-0.207
0.14,0.045,-0.06
0.136,0.049,-0.004
0.075,0.015,0.128
0.128,0.06,0.019
0.072,0.049,0.057
0.011,0.094,-0.026
0.045,0.038,0.045
0.091,-0.079,-0.079
0.136,-0.004,0.06
0.128,0.019,0.079
0.143,0.06,0.03
0.147,0.041,-0.019
0.038,0.041,-0.041
0.06,0.034,-0.038
0.117,0.015,0.0
0.177,0.023,-0.147
0.113,0.023,-0.091
0.091,0.034,-0.034
0.098,-0.041,0.057
0.155,0.041,-0.034
0.143,0.004,0.008
0.053,0.03,0.079
0.072,0.0,0.06
0.113,0.045,0.041
0.087,0.087,-0.015
0.072,0.038,0.023
0.079,0.132,-0.068
0.094,0.06,-0.038
0.128,0.034,-0.034
0.034,0.015,-0.008
0.109,-0.015,-0.064
0.132,0.094,-0.057
0.147,-0.008,-0.008
0.079,0.023,-0.008
0.162,-0.034,-0.049
0.094,0.045,-0.041
0.098,0.098,-0.038
0.038,0.064,0.023
0.045,0.057,0.015
0.072,0.109,-0.015
0.109,0.03,0.041
0.17,0.041,-0.087
0.14,0.072,-0.038
0.079,0.023,-0.004
0.094,0.053,0.049
0.132,-0.015,0.072
0.079,0.083,0.008
0.087,0.038,0.079
0.113,0.03,-0.091
0.155,0.06,0.008
0.124,0.049,0.155
0.068,0.155,-0.008
0.094,0.147,0.004
0.079,0.098,0.008
0.147,0.057,-0.091
0.053,0.008,-0.087
0.147,0.087,-0.102
0.121,0.03,0.057
0.132,-0.026,0.011
0.124,0.064,-0.034
0.057,0.0,0.091
0.038,0.079,0.072
0.174,0.008,-0.038
0.068,-0.03,0.015
0.151,0.053,0.079
0.147,0.015,0.064
0.121,0.087,-0.023
0.087,0.0,-0.079
0.132,0.011,0.087
0.075,0.083,-0.019
0.075,0.06,-0.109
0.087,0.041,-0.155
0.117,0.004,-0.045
0.026,0.038,0.079
0.083,0.049,0.015
0.166,0.008,0.038
0.192,-0.008,0.064
