date,time,latitude,longitude,depth,magnitude
2020-08-04,14:17:54,13.31,-92.24,5,5.9
2020-07-23,22:19:51,15.36,-96.04,15,5.7
2020-06-23,21:33:18,15.48,-96.57,8,5.5
2020-06-23,10:29:03,15.784,-96.12,22,7.4
2020-05-22,03:46:06,22.348,-108.011,5,6.2
2020-03-06,21:52:02,31.6292,-114.327,8,5.6
2020-02-01,21:32:44,13.6932,-93.1072,11,5.7
2020-01-10,09:21:21,18.3913,-105.428,17,5.5
2020-01-04,22:40:49,16.2527,-94.6173,80,6.0
2019-12-23,09:47:55,13.6873,-93.218,1,5.8
2019-11-19,22:27:06,13.7792,-93.3382,9,6.4
2019-08-14,16:35:18,20.4463,-109.265,15,5.8
2019-08-12,15:39:35,15.9068,-93.8033,99,5.5
2019-06-22,17:31:38,14.3878,-93.0508,11,5.6
2019-05-31,06:57:26,18.6877,-106.975,10,5.8
2019-04-22,15:15:23,15.958,-98.6733,15,5.5
2019-02-01,10:14:12,14.5818,-92.4807,76,6.5
2019-01-21,05:57:19,15.4165,-94.9038,18,5.8
2018-07-19,08:31:55,17.7213,-97.8123,55,5.9
2018-06-29,22:56:49,18.879,-105.271,15,5.9
2018-04-11,02:30:38,15.5382,-95.0407,14,5.5
2018-02-19,00:56:58,16.2477,-97.775,10,6.0
2018-02-16,18:36:51,15.8438,-97.9887,24,5.9
2018-02-16,17:39:39,16.218,-98.0135,16,7.2
2018-02-09,08:05:48,18.9507,-104.809,3,5.9
2018-01-19,10:17:45,26.6672,-111.079,16,6.3
